iter	Passed	Remaining
403	10591	68057
404	10616	68023
405	10640	67983
406	10665	67949
407	10673	67807
408	10699	67781
409	10709	67651
410	10737	67641
411	10767	67634
412	10793	67610
413	10808	67517
414	10834	67484
415	10861	67466
416	10892	67467
417	10920	67454
418	10947	67438
419	10971	67397
420	10997	67367
421	11023	67340
422	11031	67207
423	11056	67172
424	11079	67127
425	11104	67095
426	11126	67048
427	11151	67012
428	11176	66980
429	11201	66947
430	11225	66911
431	11250	66875
432	11280	66872
433	11310	66875
434	11369	67038
435	11398	67034
436	11421	66985
437	11463	67055
438	11482	66984
439	11506	66946
440	11529	66901
441	11554	66867
442	11578	66833
443	11601	66787
444	11625	66751
445	11650	66715
446	11677	66696
447	11701	66659
448	11757	66800
449	11782	66768
450	11806	66727
451	11830	66690
452	11854	66654
453	11880	66624
454	11905	66589
455	11929	66553
456	11953	66517
457	11981	66497
458	12004	66454
459	12028	66417
460	12052	66380
461	12077	66350
462	12102	66316
463	12127	66282
464	12167	66330
465	12195	66313
466	12221	66287
467	12264	66354
468	12289	66322
469	12314	66290
470	12340	66260
471	12365	66226
472	12389	66193
473	12434	66264
474	12490	66398
475	12534	66461
476	12558	66425
477	12583	66390
478	12606	66349
479	12630	66311
480	12668	66345
481	12696	66325
482	12719	66282
483	12744	66250
484	12756	66151
485	12782	66120
486	12807	66086
487	12832	66056
488	12856	66017
489	12882	65987
490	12907	65956
491	12934	65934
492	12959	65902
493	12968	65786
494	12991	65745
495	13015	65708
496	13040	65674
497	13064	65639
498	13089	65605
499	13114	65571
500	13140	65542
501	13170	65535
502	13195	65505
503	13231	65526
504	13256	65496
505	13275	65433
506	13300	65402
507	13325	65367
508	13337	65271
509	13361	65235
510	13372	65134
511	13397	65105
512	13422	65071
513	13446	65036
514	13502	65154
515	13532	65143
516	13547	65064
517	13575	65046
518	13611	65066
519	13637	65042
520	13662	65009
521	13688	64982
522	13711	64938
523	13734	64899
524	13758	64859
525	13784	64835
526	13808	64796
527	13851	64849
528	13875	64814
529	13900	64781
530	13923	64741
531	13949	64712
532	13987	64741
533	14012	64710
534	14051	64740
535	14076	64712
536	14113	64734
537	14140	64707
538	14181	64748
539	14223	64797
540	14255	64794
541	14281	64768
542	14306	64733
543	14326	64679
544	14351	64646
545	14376	64615
546	14399	64575
547	14427	64553
548	14456	64539
549	14482	64512
550	14520	64536
551	14544	64502
552	14582	64525
553	14607	64495
554	14632	64460
555	14657	64429
556	14680	64390
557	14706	64362
558	14731	64327
559	14756	64294
560	14781	64265
561	14807	64235
562	14819	64147
563	14847	64126
564	14872	64094
565	14898	64068
566	14924	64040
567	14949	64007
568	14972	63968
569	14997	63937
570	15021	63900
571	15046	63869
572	15070	63831
573	15095	63802
574	15120	63771
575	15148	63749
576	15172	63715
577	15198	63685
578	15223	63653
579	15248	63621
580	15271	63582
581	15297	63554
582	15321	63519
583	15347	63493
584	15359	63408
585	15385	63379
586	15415	63367
587	15456	63402
588	15498	63439
589	15526	63420
590	15549	63381
591	15573	63347
592	15589	63276
593	15613	63240
594	15652	63266
595	15677	63236
596	15702	63202
597	15727	63172
598	15752	63142
599	15765	63063
600	15789	63026
601	15813	62992
602	15839	62962
603	15861	62921
604	15886	62888
605	15909	62851
